Code,market_cap,price,gross_margin,ps_ratio,rd_intensity,rev_growth
005930,1177916875093.3333,84600.0,0.3799258547776552,5.285282709361895,,0.1619531117661296
000660,1056911210911.1112,353000.0,0.4808388384504938,21.555617617492857,,1.020189454716376
402340,123454401124.44444,196200.0,,87.41344800696105,,-0.1624843839775656
009150,77294143194.07408,197100.0,0.1903247719105786,10.136589225002773,,0.1576277665322257
005380,70527674955.55556,214000.0,0.2040117090366916,0.5433529344522432,,0.0772611427663226
373220,59366666666.666664,348500.0,0.1329443861014922,3.128270813129877,,-0.2407992835779143
207940,48999828873.333336,1471744.0,0.5037788177533584,14.546972132742882,,0.2308060417857339
000270,43118946668.0,100200.0,0.2305356789997896,0.5417520158987049,,0.0765499744410341
329180,38602406083.333336,482000.0,0.1031260597676617,3.5973779265032237,,0.2108444631718384
034020,36298464940.0,62900.0,0.1681580577408257,3.018712600246842,,-0.0771371028627356
012330,33940706974.074074,295500.0,0.140863929002562,0.8005303984774184,,-0.0340458654173994
034730,32653069202.962963,207000.0,0.0857445613773161,0.3535286568683907,,-0.0318950144655447
006400,27936317066.666668,205000.0,0.1864463351131865,2.2729907381925742,,-0.2259918524632698
066570,23419191285.77778,76500.0,0.2436985870743337,0.3603848559839072,0.0306320607441745,0.0664398371538271
267260,21441369929.62963,577000.0,0.3144056448539392,8.712464987695107,,0.2292251820521246
298040,19035892065.185184,1337000.0,0.1617519190001101,5.24996145517041,0.0090913902245687,0.1382160739612536
005490,18724479342.962963,276000.0,0.0744679819839785,0.3477602537915951,,-0.0575549756102817
042660,18589079236.0,107200.0,0.0634675130476024,2.328808971707979,,0.4545829802021315
009540,17981613917.037037,397000.0,0.1016253721505848,0.9505297984931342,,0.1992078714331817
015760,16905054027.666666,36700.0,0.1224290274266197,0.2443478875526537,,0.0587107985164407
010140,14927407407.407408,21300.0,0.0929571647663886,2.0349228960818597,,0.236427314819665
096770,14238001478.22222,100700.0,0.0540576299814349,0.2572548371653408,,-0.0332716530962315
064350,14220836547.185184,216500.0,0.1894274194449938,4.386541776506655,,0.2199975648930343
011200,14148569550.0,20600.0,0.3387511213460528,1.6324960011449354,,0.3927231489605544
017670,13889756760.666666,54300.0,,1.0451803295473414,,0.0188600841945125
011070,12254302068.88889,191200.0,0.0822457030421793,0.7803169176286411,0.0260278466498009,0.0288986469008686
010950,12050528477.037037,63500.0,0.0334595617204898,0.4440374397150249,,0.0254805832300072
267250,11819706051.851852,155200.0,0.0948401917759021,0.2354675089886849,,0.1049109184188675
018260,11314353866.666666,166000.0,0.1455234587760248,1.104579217550387,,0.0415300368385482
278470,10829332983.333334,245500.0,0.7521228566504858,20.22763251787575,,0.379803247522108
086280,10783333333.333334,166500.0,0.09361916423648148,0.49383089459881857,,0.07974670690403243
272210,9781826141.555555,59200.0,0.14830209508940861,4.710037078555622,,0.1431975240970118
047050,6828410437.925926,48550.0,0.05862512959192077,0.28503797219367166,,-0.023904642501152065
443060,6472623225.185185,203500.0,0.2074962285775655,5.006157957705601,,0.22020518933741004
161390,6446091553.518518,38100.0,0.3684689059592875,0.9245932579258838,,0.052835173478328126
