Sym,Issuer Name,%,gross_margin,ps_ratio,market_cap,rd_intensity,rev_growth,sector
TSLA,Tesla Inc,9.5%,0.17282555844750164,21.14019512137999,1478249284057.6172,0.06618425192346195,,Consumer Cyclical
COIN,Coinbase Global Inc,4.8%,0.740688300943151,16.79489226235955,90695710015.625,0.2172652622238156,,Financial Services
RBLX,ROBLOX Corp,4.4%,0.7820147940205846,27.975132049222285,97222619838.69934,0.33300559401241264,,Communication Services
HOOD,Robinhood Markets Inc,4.3%,0.8517241379310345,40.33583996524023,128671329489.11633,0.2084639498432602,,Financial Services
SHOP,Shopify Inc,4.3%,0.48985286656519533,24.528586749360596,193383377931.95892,0.14535768645357686,,Technology
TEM,Tempus AI Inc,3.4%,0.6192766129620663,15.85311746471951,14340381290.001045,0.2525077992168724,,Healthcare
AMD,Advanced Micro Devices Inc,2.9%,0.47498871517091384,10.808572738718217,263394109069.82422,0.23640691041897494,,Technology
CRCL,Circle Internet Group Inc,2.3%,0.03334429597097768,15.71109346180768,31051562228.85132,,,Financial Services
BMNR,BitMine Immersion Technologies,2.3%,-0.007749072438767267,2489.9365100610175,12185119326.301575,,,Financial Services
TER,Teradyne Inc,2.2%,0.5874883169640293,10.257649160039838,21609656136.016846,0.17151574961064459,,Technology
KTOS,Kratos Defense & Security Solu,2.0%,0.22411899770390337,15.400605149445093,15426786178.19915,0.030148747129879205,,Industrials
BEAM,Beam Therapeutics Inc,1.6%,,95.96635495626192,2460001542.948818,12.106694234220177,,Healthcare
META,Meta Platforms Inc,1.3%,0.8208787002381762,13.090482326828877,1846700522810.4033,0.28521605988431437,,Communication Services
NTLA,Intellia Therapeutics Inc,1.2%,,44.780903501438004,1999646464.9532127,6.723003538316836,,Healthcare
TWST,Twist Bioscience Corp,1.1%,0.5147033790848992,5.927055617485555,1706156302.9937744,0.20488503051841353,,Healthcare
GTLB,Gitlab Inc,0.9%,0.8811460944038324,16.683250357416664,7515287105.255127,0.30390104535495227,,Technology
VCYT,Veracyte Inc,0.9%,0.6920392341218935,7.206308594099262,2713240042.455719,0.13270599109184641,,Healthcare
PD,PagerDuty Inc,0.9%,0.8429996381816985,6.333056585262547,1540300690.4412155,0.26702601802512993,,Technology
ILMN,Illumina Inc,0.8%,0.6630025125628141,4.563571038557656,14530410186.767578,0.228643216080402,,Healthcare
TXG,10X Genomics Inc,0.8%,0.6938776366263767,3.1024936180730283,1479247239.6418934,0.3831075540119087,,Healthcare
SOFI,SoFi Technologies Inc,0.8%,,12.2955969131131,31824730377.001373,,,Financial Services
DKNG,DraftKings Inc,0.8%,0.38936327955502775,4.567699011446901,18569212957.603455,0.08027806831028807,,Consumer Cyclical
AVAV,AeroVironment Inc,0.8%,0.26784025785020676,21.54669379798743,15723182678.430176,0.0795038137602333,,Industrials
ABNB,Airbnb Inc,0.7%,0.8310261016590933,7.801263752163029,73823358886.71875,0.18651590404734228,,Consumer Cyclical
GOOG,Alphabet Inc,0.5%,0.5959662016276366,10.157502269095469,2935599415786.743,0.14710665448707302,,Communication Services
TOST,Toast Inc,0.4%,0.2588495575221239,4.741453321845131,21431369014.73999,0.061283185840707965,,Technology
TRMB,Trimble Inc,0.4%,0.6799617956064947,7.421025926650083,19424535363.00659,0.1813562559694365,,Technology
LHX,L3Harris Technologies Inc,0.4%,0.2576925448603318,3.483940383874934,56499061205.299805,0.023432200776962446,,Industrials
CRWV,CoreWeave Inc,0.4%,0.7349345294684818,19.13074399321031,68095194537.04834,,,Technology
MELI,MercadoLibre Inc,0.4%,0.4506804410449985,5.884388076514453,118476269532.54199,0.08368928181186053,,Consumer Cyclical
PSNL,Personalis Inc,0.3%,0.2653193889451848,11.062841225691002,578619784.6273165,0.7110873181270673,,Healthcare
