Code,market_cap,price,gross_margin,ps_ratio,per,pbr
005930,1263445765840.0,120200.0,0.3799258547776552,5.6690486413835774,49.50899556548595,4.124898721367135
000660,1206314743722.2222,651000.0,0.48083883845049386,24.60269043754804,,16.2842265536647
402340,132642614668.14815,368500.0,,93.91927865831047,,7.2012969752969225
009150,91070980456.2963,256500.0,0.19032477191057864,11.94332560082646,174.83374534469237,13.043632415914333
005380,72575252615.55556,299500.0,0.20401170903669166,0.5591276970653728,,0.7816439851000933
373220,55900000000.0,368500.0,0.13294438610149228,2.945598064917913,,2.5377284712251553
207940,48005430666.666664,1695000.0,0.5037788177533584,14.251757162939143,59.82311552739246,5.321053245047313
000270,46415767540.0,121100.0,0.2305356789997896,0.5831736992068554,6.410358478486711,1.0664070907468108
329180,40896003222.22222,514000.0,0.10312605976766179,3.811119414583476,,8.539771095359162
034020,37152546468.0,75800.0,0.16815805774082573,3.089741132017356,127.07711066637277,4.226793750293902
012330,34075125615.555557,374000.0,0.14086392900256206,0.8037008158971308,11.34257401935378,0.960427887923278
034730,33297537674.074074,256500.0,0.08574456137731619,0.3605061961486879,,0.5232347536444794
006400,25369518703.703705,268000.0,0.1864463351131865,2.06414757207659,59.5101848354384,1.4590819367353223
066570,24022467722.814816,92200.0,0.24369858707433376,0.36966834016690325,,1.2047111498016445
267260,22322522118.51852,774000.0,0.3144056448539392,9.070511494038742,60.46313868469598,16.891050500951085
042660,19519668062.22222,113700.0,0.06346751304760245,2.4453915942232745,,4.812139412662006
298040,18939193048.88889,1788000.0,0.16175191900011016,5.223292565340081,114.69059508343548,10.977264030946516
005490,18342946064.814816,305500.0,0.07446798198397855,0.34067422981151557,26.132852921507894,0.399035091221266
009540,18269948834.074074,407000.0,0.10162537215058488,0.9657715299558521,16.9563922533243,1.546138293621269
015760,17808559024.925926,47200.0,0.1224290274266197,0.25740726832199384,,0.5034740327368892
064350,14309767304.444445,189200.0,0.1894274194449938,4.413973248673553,,6.782313902390836
011070,14235326580.74074,272000.0,0.08224570304217939,0.9064625709791939,42.77499005951824,3.5030443662291466
010140,14210370370.37037,24200.0,0.09295716476638861,1.9371755080604602,,4.862438013002706
011200,14008830591.481482,20600.0,0.33875112134605284,1.6163725838496767,5.000337455041856,0.7420504124160869
017670,13348804034.592592,53500.0,,1.0044745664263683,12.991817753434335,1.5260369976096084
096770,13161072606.518518,101200.0,0.05405762998143491,0.23779668765239512,,0.4578849862213442
267250,12258556524.074074,188600.0,0.09484019177590218,0.244210114520443,,0.5721014236751679
018260,11460511933.333334,171300.0,0.14552345877602482,1.1188480980202629,19.596789282472884,1.5493400322527362
010950,11183224005.333334,83000.0,0.033459561720489854,0.4120790357493761,,1.7461631060320852
278470,10607477250.0,233500.0,0.7521228566504858,19.813237997663187,133.0982085795455,41.06588049259037
307950,9466352305.185184,326500.0,0.10623353339165327,3.441274277548553,72.95006985286773,
272210,9459963478.814816,55100.0,0.14830209508940861,4.5550573177447795,,2.6278938049046614
161390,6744309312.222222,58600.0,0.3684689059592875,0.9673680349829532,8.049540388883809,0.6892616691978649
003230,6617893177.777778,1240000.0,0.4185249012619715,5.170184153860059,32.93629194712117,8.146006098000342
443060,6565611142.222222,193600.0,0.2074962285775655,5.078078133598755,38.885514981598504,11.35505345839523
047050,6541721450.074074,49000.0,0.05862512959192077,0.27307072908630375,17.543014206966305,1.191365808333704
