Sym,Issuer Name,%,gross_margin,ps_ratio,market_cap,rd_intensity,rev_growth,sector
TSLA,Tesla Inc,8.2%,0.1906537663850264,14.261703225410967,1395921250000.0,0.07098560467516014,,Consumer Cyclical
AMD,Advanced Micro Devices Inc,4.3%,0.5028034388850323,8.855515187964018,331674465850.00433,0.23388690126555242,,Technology
CRSP,CRISPR Therapeutics AG,4.2%,-200.92,4585.058491005478,4585058491.005478,377.149,,Healthcare
SHOP,Shopify Inc,3.9%,0.4797024098334142,12.477633196773114,154298412111.29633,0.12906356137797187,,Technology
PLTR,Palantir Technologies Inc,3.5%,0.8407394164130062,67.12115873510574,350652612313.81226,0.11174378954452896,,Technology
TEM,Tempus AI Inc,3.4%,0.6338918666909061,5.9469780374556365,8112677135.39978,0.2521126430175755,,Healthcare
CRCL,Circle Internet Group Inc,3.3%,0.08106765350593703,8.255071322292464,23627681648.808136,,,Financial Services
HOOD,Robinhood Markets Inc,3.2%,0.8226750487752005,13.538792301972855,62454448889.00078,0.20030349013657056,,Financial Services
COIN,Coinbase Global Inc,3.2%,0.7336625298856161,7.011300402547036,45994214776.313385,0.2806222000813413,,Financial Services
TER,Teradyne Inc,2.9%,0.5870219428451917,12.250411613397995,46390324213.256836,0.1378374253136786,,Technology
ROKU,Roku Inc,2.8%,0.4419159320248001,2.8123003392739245,13964359218.050423,0.14789975063730273,,Communication Services
RBLX,ROBLOX Corp,2.6%,0.7845006856266084,7.642583231679023,40485392426.83548,0.30489751090357736,,Communication Services
TWST,Twist Bioscience Corp,2.3%,0.5207300008059021,7.212966009128291,2953558108.4518433,0.17555479035554936,,Healthcare
BEAM,Beam Therapeutics Inc,2.2%,,14.927890385409631,2448338230.001419,2.5323057599795136,,Healthcare
AMZN,Amazon.com Inc,2.2%,0.5060408521546199,3.01542870007223,2239788068124.8506,,,Consumer Cyclical
TXG,10X Genomics Inc,1.9%,0.6960329251091528,4.28693003065817,2738418025.773918,0.3619914744130636,,Healthcare
KTOS,Kratos Defense & Security Solutions Inc.,1.9%,0.22887224420576596,9.336542273483923,13213074625.434448,0.028759185980780103,,Industrials
BLSH,Bullish,1.8%,0.0002634450130631937,0.02501751251929826,5418395333.160896,,,Technology
DE,Deere & Co,1.7%,0.3526428540200236,3.317406728920288,151758088221.1875,0.05113015345603987,,Industrials
GOOG,Alphabet Inc,1.6%,0.603677168466671,8.221333093091456,3473505010498.047,0.15281219600519766,,Communication Services
CRWV,CoreWeave Inc,1.5%,0.693834377541202,6.618211843175811,41214040649.41406,,,Technology
ACHR,Archer Aviation Inc,1.5%,0.15789473684210525,2062.3181079179403,3918404405.0440865,295.7368421052632,,Industrials
BMNR,BitMine Immersion Technologies,1.5%,0.644440251533938,584.620527687829,9769445729.197805,,,Financial Services
NTLA,Intellia Therapeutics Inc,1.4%,,23.36345068181223,1544137182.4623337,5.464670459359681,,Healthcare
NVDA,NVIDIA Corp,1.4%,0.7106808435754708,19.606013289033992,4233683297607.422,0.08565884652076058,,Technology
