Sym,Issuer Name,%,gross_margin,ps_ratio,market_cap,rd_intensity,rev_growth,sector
RKLB,Rocket Lab Corp,1.1%,0.36556068619054766,58.752312293708776,39926778883.93402,0.43574100397599685,,Industrials
ILMN,Illumina Inc,1.1%,0.661962212610972,4.2648578021186045,18735520324.70703,0.21739130434782608,,Healthcare
NTRA,Natera Inc,1.1%,0.6506576566670332,11.41392622492129,28545373444.06128,0.2821891899997001,,Healthcare
LHX,L3Harris Technologies Inc,1.0%,0.252569293055123,2.853832331729553,64145589320.28516,0.0253592561284869,,Industrials
BWXT,BWX Technologies Inc,1.0%,0.22658382458867238,5.5411981564227615,18709212796.17531,0.004725173439987869,,Industrials
AVGO,Broadcom Inc,1.0%,0.6781582261796667,21.433513201685656,1463523148437.5,0.17118713570194194,,Technology
RXRX,Recursion Pharmaceuticals Inc,1.0%,0.06274909489184338,24.78064330047637,1629029929.2867157,6.594876631476467,,Healthcare
AVAV,AeroVironment Inc,0.8%,0.24737887036966885,5.676379027043591,9140553943.288727,0.075217400214497,,Industrials
VCYT,Veracyte Inc,0.8%,0.7091609859287522,4.744123336542187,2570095608.708374,0.14802590896421366,,Healthcare
META,Meta Platforms Inc,0.7%,0.8194052902373443,6.74973837336185,1450937260214.6099,0.29270289632586227,,Communication Services
WGS,GeneDx Holdings Corp,0.7%,0.6955574932569497,4.303739915183875,1905170978.173767,0.1790308079461821,,Healthcare
TRMB,Trimble Inc,0.6%,0.6953290294580372,4.158045567427818,15329050788.879395,0.17406282211251559,,Technology
FIG,Figma Inc,0.6%,0.7978162456030345,9.580828499709261,11123610151.360443,0.9756431369441564,,Technology
SOFI,SoFi Technologies Inc,0.5%,,5.162093853972166,20348782974.88568,,,Financial Services
DASH,DoorDash Inc,0.4%,0.5088648868962706,4.446616438363009,65458640589.141846,0.10345764554038449,,Consumer Cyclical
ESLT.TA,Elbit Systems Ltd,0.4%,0.24697327590312151,1491.0517062112958,12273848580571.75,0.06721101132309451,,Industrials
JOBY,Joby Aviation Inc,0.4%,0.3803221279499427,104.2869720803172,8100073408.450317,8.037542969705553,,Industrials
PSNL,Personalis Inc,0.4%,0.13719290087576533,10.336916104766106,666886142.4989853,0.8085406494613656,,Healthcare
LUNR,Intuitive Machines Inc,0.4%,0.08040811849938155,9.03689986048861,2966253936.4070606,0.017027278986588998,,Industrials
TOST,Toast Inc,0.4%,0.2627986348122867,2.3853242526763054,15375800132.751465,0.0600372323921812,,Technology
IRDM,Iridium Communications Inc,0.4%,0.715701990550764,3.337741102806324,2923320491.9996853,0.023423281474427918,,Communication Services
PACB,"Pacific Biosciences of California, Inc.",0.4%,0.3748797100543648,2.5610376572248406,409842856.28569126,0.5490345560207461,,Healthcare
GH,Guardant Health Inc,0.3%,0.6489559948713913,11.245896287956656,12147985858.695099,0.3394768634021931,,Healthcare
SYM,Symbotic Inc,0.3%,0.20584431811454948,2.6845989220309354,6757250924.505512,0.08151231425128613,,Industrials
CAT,Caterpillar Inc,0.3%,0.3149459402162391,4.60353066151618,325722811955.5773,0.03116387534449862,,Industrials
MELI,MercadoLibre Inc,0.3%,0.438606420777914,2.7562318841561906,87656442611.81934,0.07599911957991384,,Consumer Cyclical
CRWD,Crowdstrike Holdings Inc,0.3%,0.746953504828029,20.555974018697615,98915449757.84302,0.2871083882913671,,Technology
ABSI,Absci Corp,0.3%,,253.84008986928106,466050405.0,45.93082788671024,,Healthcare
CCO.TO,Cameco Corp,0.3%,0.28314271936811625,18.62349460951419,65887428380.18353,0.010850608813335497,,Energy
CDNA,CareDx Inc,0.3%,0.6888401724722639,2.15621329551757,890127972.6555634,0.18003245966765177,,Healthcare
NET,Cloudflare Inc,0.3%,0.7332707779979859,31.31282825404284,72915208436.50543,0.23549378275834673,,Technology
CERS,Cerus Corp,0.3%,0.529925423102676,1.6835221098889075,364575130.50699234,0.30314238876959665,,Healthcare
SPOT,Spotify Technology SA,0.3%,0.3231787323863312,5.6881296441618545,99707224532.51315,0.07672999030178561,,Communication Services
ISRG,Intuitive Surgical Inc,0.2%,0.6629213483146067,15.43879310713965,163374852539.0625,0.1282826660114722,,Healthcare
TDY,Teledyne Technologies Inc,0.2%,0.4287297609868928,4.502257361251529,28029253428.20752,0.052621434078643024,,Technology
SNPS,Synopsys Inc,0.2%,0.751368595648592,9.479135246025217,75905701623.32153,0.32982290334218695,,Technology
DKNG,DraftKings Inc,0.2%,0.4178880589720422,1.7035548831552374,10718418096.061707,0.0762624974272048,,Consumer Cyclical
ADPT,Adaptive Biotechnologies Corp,0.2%,0.7525854160531064,7.503537308716099,2216597445.7558966,0.31545968782053235,,Healthcare
DDOG,Datadog Inc,0.2%,0.7988696173861277,11.439873570880662,42007570388.35449,0.4473513431667652,,Technology
NRIX,Nurix Therapeutics Inc,0.2%,,22.32821718747823,1602697101.5,4.6166288190139175,,Healthcare
AUR,Aurora Innovation Inc,0.2%,-4.75,2014.679944038391,8058719776.153564,189.5,,Consumer Cyclical
KDK,Kodiak AI Inc,0.2%,,296.3627165917368,1231683450.1552582,13.852983638113571,,Technology
SDGR,Schrodinger Inc,0.2%,0.5532924030521175,3.3222557756267865,846859608.486146,0.6713010729487456,,Healthcare
PRME,Prime Medicine Inc,0.2%,,155.81110366013078,628541992.1649675,38.219881011403075,,Healthcare
IONS,Ionis Pharmaceuticals Inc,0.2%,0.9835133421345337,11.772552330640837,12457585378.208496,0.8741661461232351,,Healthcare
ARCT,Arcturus Therapeutics Holdings,0.2%,,5.180764195037135,219426086.7166028,2.333829154271143,,Healthcare
BFLY,Butterfly Network Inc,0.2%,0.49205177037584047,10.253660044656261,1055265677.1558437,0.34859497065568035,,Healthcare
NFLX,Netflix Inc,0.2%,0.4902873943761816,8.638520893432098,405060175584.8639,0.07524554493419407,,Communication Services
ABNB,Airbnb Inc,0.2%,0.8291294378113386,5.940468784928762,75129108722.99405,0.19166600774887324,,Consumer Cyclical
RBRK,Rubrik Inc,0.2%,0.8010341964046251,7.524590156502827,9903797842.677612,0.28391168151127,,Technology
GTLB,Gitlab Inc,0.1%,0.8735971876753515,3.8527836572350886,3680271416.1987305,0.2874446203194225,,Technology
NU,NU Holdings Ltd,0.1%,,5.863571836688663,69863221220.48787,,,Financial Services
GENI,Genius Sports Ltd,0.1%,0.22701520779311796,1.5991226791935553,1140894075.470642,0.04701520779311795,,Communication Services
GRMN,Garmin Ltd,0.1%,0.5913855594970411,5.969739684454,44557593758.45337,0.15460116140215535,,Technology
HEI,HEICO Corp,0.1%,0.39620244640873103,8.247234234783074,38212768092.38083,,,Industrials
MASS,908 Devices Inc,0.1%,0.5149391879033235,3.9613981778572054,228972776.07832432,0.26326534143007907,,Healthcare
LLY,Eli Lilly & Co,0.1%,0.828306078242756,11.355127390046817,820402276367.1875,0.19534114422937182,,Healthcare
ETOR,Etoro Group Ltd,0.1%,0.06364836222280042,0.19198393892064916,2397318228.065443,0.012469931914410395,,Financial Services
KLAR,Klarna Group PLC,0.1%,0.5082439152054437,1.2953429964500234,4949505589.435539,0.13085579691180318,,Financial Services
HON,Honeywell International Inc,0.1%,0.36947474362810434,2.031775756126939,74694172122.49466,0.05073035388842042,,Industrials
LMT,Lockheed Martin Corp,0.1%,0.09818123718477885,1.8425036274568498,138383077443.77417,,,Industrials
Z,Zillow Group Inc,0.1%,0.7333828444114371,3.5202180492758086,9479947206.699753,0.22577051615298924,,Communication Services
QSI,Quantum-Si Inc,0.0%,0.40010799136069114,90.75525838142273,168078738.5223949,29.44330453563715,,Healthcare
ICE,Intercontinental Exchange Inc,0.0%,0.5775789554179093,6.782219482104494,88691084167.48047,,,Financial Services
SSYS,Stratasys Ltd,0.0%,0.40603702763836985,1.2378158312824632,678017335.0324631,0.14178470953148592,,Technology
TSEM,Tower Semiconductor Ltd,0.0%,0.24768294826294351,12.20951407503235,19798520691.079834,0.05541190146555951,,Technology
XRAY,Dentsply Sirona Inc,0.0%,0.4892692203205651,0.6312089313796213,2323480076.408386,0.042923118717739746,,Healthcare
ADSK,Autodesk Inc,0.0%,0.9097973910630031,7.043130544831347,50752798706.05469,0.2280044407438246,,Technology
PTC,PTC Inc,0.0%,0.8471282848431881,5.489686194301756,16457310654.449463,0.15853642264815568,,Technology
PRLB,Proto Labs Inc,0.0%,0.448562767044144,2.48352916872858,1356647676.6513367,0.07823958642253294,,Industrials
ITRN,Ituran Location and Control Ltd,0.0%,0.49569601901746646,2.5655263701341884,962672721.970932,0.05586114264698828,,Technology
RDWR,Radware Ltd,0.0%,0.8079325804951161,3.577740206074743,1107611123.9574432,0.26263631195410614,,Technology
WIX,Wix.com Ltd,0.0%,0.6736980748959993,2.54898933148591,5252355652.843933,0.33787933789001456,,Technology
MSFT,Microsoft Corp,0.0%,0.6830928165442874,8.621685451563865,2744049693725.586,0.10806446038463835,,Technology
HPQ,HP Inc,0.0%,0.2025111597218517,0.3095729153132154,17406975455.14679,0.0284017144178271,,Technology
PERI,Perion Network Ltd,0.0%,0.3439866291423919,0.8910349438564682,392909877.8080044,0.07517705727743396,,Communication Services
CAMT,Camtek Ltd,0.0%,0.502275127080524,13.986978751602043,6980803186.0733185,0.10480211102940734,,Technology
CGEN,Compugen Ltd,0.0%,0.8806017397049108,2.772865083466645,201465285.50435257,0.32923640167364016,,Healthcare
KMDA.TA,Kamada Ltd,0.0%,0.41156526238152374,825.8464330863817,150041431656.0,0.060160059884853755,,Healthcare
NVMI,Nova Ltd,0.0%,0.574590954972084,15.304527123509738,13812779560.25412,0.16314268017980585,,Technology
INMD,Inmode Ltd,0.0%,0.778380730198218,2.098924771383948,786336978.5017395,0.0372786529930226,,Healthcare
AUDC,AudioCodes Ltd,0.0%,0.6533574804040861,0.8653526854429818,214064889.85608673,0.21676981723955321,,Technology
NYAX.TA,Nayax Ltd,0.0%,0.48180928670816725,1549.194577630526,660234195900.0,0.072277141764376,,Technology
RDCM,RADCOM Ltd,0.0%,0.7603282168517309,2.769685686995514,203538661.76592636,0.28188275636838667,,Communication Services
MDWD,MediWound Ltd,0.0%,0.19607707714621175,14.300009385620134,207049835.89439392,1.1478002624490642,,Healthcare
URGN,UroGen Pharma Ltd,0.0%,0.8985287523221798,6.233583538703842,875774852.1031189,0.44723224644644216,,Healthcare
DRTS,Alpha Tau Medical Ltd,0.0%,,,637544809.1697478,,,Healthcare
CGNT,Cognyte Software Ltd,0.0%,0.724178271727148,1.4796855159275877,591934873.4771881,0.3058086546129022,,Technology
GILT,Gilat Satellite Networks Ltd,0.0%,0.30333295043119035,2.411376604483057,1133573673.5078583,0.10029270741596362,,Technology
RSKD,Riskified Ltd,0.0%,0.523523689158077,1.6108150931306946,564621295.6290779,0.19643157717555967,,Technology
FROG,JFrog Ltd,0.0%,0.7748140785573561,10.091961755922462,5685912172.904274,0.3613105908663318,,Technology
PANW,Palo Alto Networks Inc,0.0%,0.735073231378812,11.392049685031868,112704965148.92578,0.20584638088403262,,Technology
CLBT,Cellebrite DI Ltd,0.0%,0.8386429424668682,6.9240404161183475,3437280611.652383,0.24670696799327999,,Technology
DDD,3D Systems Corp,0.0%,0.34209590100541376,0.7078823498415698,274587563.5035449,0.14176076308326888,,Technology
PLTK,Playtika Holding Corp,0.0%,0.7303961919759493,0.3784803654545896,1057511989.1166687,0.15063884614008088,,Communication Services
TATT,TAT Technologies Ltd,0.0%,0.24954807366399276,2.9799167900660177,527504870.1774864,0.009213648175347419,,Industrials
CHKP,Check Point Software Technologies Ltd,0.0%,0.863788098693759,5.392007570713115,14860372864.885345,0.16854136429608127,,Technology
NNOX,Nano-X Imaging Ltd,0.0%,-0.849142384790246,10.88336268392026,157993776.08247042,1.312667906592271,,Healthcare
XMTR,Xometry Inc,0.0%,0.39272567248517476,2.8800106549719726,2133503253.1712723,0.0635113263147664,,Industrials
TBLA,Taboola.com Ltd,0.0%,0.29717951635671386,0.4340243122812744,846756259.8506541,0.07774090670045547,,Communication Services
MBLY,Mobileye Global Inc,0.0%,0.4826216484607746,2.8702013904700188,5780585600.406618,0.5953326713008937,,Consumer Cyclical
ALLT,Allot Ltd,0.0%,0.7147946194475054,3.095222022598772,325827831.8749275,0.23546566857924536,,Technology
FVRR,Fiverr International Ltd,0.0%,0.8186158018340416,0.8392658032714001,360226311.01693726,0.19826381122791323,,Communication Services
MOG-A,Moog Inc,0.0%,0.273726042897843,2.3463361992223897,9778970850.343506,0.02324532926784207,,Industrials
VLN,Valens Semiconductor Ltd,0.0%,0.6225939764492754,1.6908164371868808,119466326.18587625,0.5995103034420289,,Technology
MNDY,Monday.com Ltd,0.0%,0.8905329082283637,2.7176724270384036,3535724439.6460876,0.26397450599994465,,Technology
PGY,Pagaya Technologies Ltd,0.0%,0.40542395752128163,0.7547845625046368,964333891.023674,0.056126665977890275,,Technology
LECO,Lincoln Electric Holdings Inc,0.0%,0.3604409973312944,3.1276798660482212,13605560673.6232,,,Industrials
KALU,Kaiser Aluminum Corp,0.0%,0.1355877268798617,0.529372860075119,1959950077.1421204,0.00016205704407951598,,Basic Materials
CRM,Salesforce Inc,0.0%,0.7767609873570138,4.155050888474916,172538488143.9209,0.1443226971703793,,Technology
ALGN,Align Technology Inc,0.0%,0.6756920339402249,2.997554055814255,12277348928.709412,0.09067068640498815,,Healthcare
AME,AMETEK Inc,0.0%,0.36327320981859756,6.453231655129545,49028956664.84244,,,Industrials
GE,GE Aerospace,0.0%,0.311454711044875,6.120616294498109,295699214419.7926,0.034401390958768006,,Industrials
SMWB,SimilarWeb Ltd,0.0%,0.7960682951439402,0.7900639716519778,228637402.82033753,0.2553949500848333,,Technology
ODD,Oddity Tech Ltd,0.0%,0.7108588794497288,1.0248185118774475,758066451.783843,,,Consumer Defensive
PINS,Pinterest Inc,0.0%,0.7986410603953599,2.405217220710921,10521124852.035236,0.3375564919862478,,Communication Services
ENLV,Enlivex Ltd,0.0%,,,3311471851.8230724,,,Healthcare
CRS,Carpenter Technology Corp,0.0%,0.2973124669836239,6.462701410890792,19574230033.30603,,,Industrials
ATI,ATI Inc,0.0%,0.22507345739471107,4.320519636223229,19850627468.627625,,,Industrials
JBL,Jabil Inc,0.0%,0.09036642483239966,0.8602611934898251,28102152407.732117,0.0007652983132825175,,Technology
KMT,Kennametal Inc,0.0%,0.3192380545847451,1.2817862428526192,2738576043.2281494,,,Industrials
AVNT,Avient Corp,0.0%,0.3124047546479732,1.0070838122696149,3304241988.0566063,,,Basic Materials
MTRN,Materion Corp,0.0%,0.1640265046105413,1.5693635537659294,3006969621.0118866,0.013357208915870408,,Basic Materials
MMM,3M Co,0.0%,0.3970987851662404,3.011408411330764,75357484085.14104,0.047634271099744246,,Industrials
