Sym,Issuer Name,%,gross_margin,ps_ratio,market_cap,rd_intensity,rev_growth,sector
TSLA,Tesla Inc,8.7%,0.18026511436616155,17.789234338098403,1686899724578.8574,0.06760732702711253,,Consumer Cyclical
SHOP,Shopify Inc,4.3%,0.48070266528210454,18.162813856321396,209889476923.65005,0.13291796469366562,,Technology
ROKU,Roku Inc,4.2%,0.43789615538632004,3.3859819089506393,16040246184.158325,0.1539874074647934,,Communication Services
COIN,Coinbase Global Inc,3.8%,0.746815803490303,8.43415844242196,60568432876.52588,0.23263186111198142,,Financial Services
PLTR,Palantir Technologies Inc,3.8%,0.8236651721415028,94.9702840789499,425034378000.0,0.12460813961334803,,Technology
CRSP,CRISPR Therapeutics AG,3.7%,,,5028699110.349163,,,Healthcare
AMD,Advanced Micro Devices Inc,3.7%,0.4951644100580271,10.077681398690444,349080805969.2383,0.23358064609255463,,Technology
HOOD,Robinhood Markets Inc,3.6%,0.8269617706237424,22.79012838897428,101940244283.88196,0.2005365526492287,,Financial Services
TER,Teradyne Inc,3.0%,0.5822351179803036,9.4633657263142,30188363787.719727,0.1581790607218002,,Technology
TEM,Tempus AI Inc,3.0%,0.6273815860964358,8.277621231064078,10527387627.833752,0.2508521460714002,,Healthcare
RBLX,ROBLOX Corp,2.6%,0.7806751426893487,11.73708158428597,57398366503.22339,0.32045741567464375,,Communication Services
BEAM,Beam Therapeutics Inc,2.3%,,20.183344831401445,2820481156.7745323,2.9312237464488384,,Healthcare
CRCL,Circle Internet Group Inc,2.2%,0.08669240476188743,6.9944096971195355,19211139439.315796,,,Financial Services
AMZN,Amazon.com Inc,1.9%,0.5028566486824266,3.4549401311661927,2476929498596.1914,,,Consumer Cyclical
ACHR,Archer Aviation Inc,1.8%,,18650.757882294816,5595227364.688445,1646.3333333333333,,Industrials
KTOS,Kratos Defense & Security Solutions Inc.,1.7%,0.22861597861597863,9.518342959280396,12819304297.558838,0.0297000297000297,,Industrials
BMNR,BitMine Immersion Technologies,1.7%,0.17129836350159536,1543.523779060199,11092914888.589548,,,Financial Services
TWST,Twist Bioscience Corp,1.6%,0.5162313532895594,4.963773425291136,1943600231.0867214,0.19437272223456611,,Healthcare
TXG,10X Genomics Inc,1.4%,0.6905182297459799,3.239842861558272,2082645507.795473,0.37122504950818497,,Healthcare
ILMN,Illumina Inc,1.3%,0.6608335252129864,4.6206494497588615,20067480560.302734,0.2226571494358738,,Healthcare
META,Meta Platforms Inc,1.3%,0.8199935312119025,8.29405944781441,1666815656930.023,0.2854775707212699,,Communication Services
DE,Deere & Co,1.3%,0.3589912642162519,3.438720028166345,125176286465.31128,0.04903576726553486,,Industrials
BLSH,Bullish,1.2%,0.00012626018935648403,0.023317437195136532,5712080237.811996,,,Technology
