"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SYM","Symbotic Inc","COMMON STOCK","87151X101","38,253","0.3%","642,913","",""
"SDGR","Schrodinger Inc","COMMON STOCK","80810D103","37,759","0.3%","2,111,829","",""
"CERS","Cerus Corp","COMMON STOCK","157085101","37,492","0.2%","18,200,204","",""
"LUNR","Intuitive Machines Inc","COMMON STOCK","46125A100","37,353","0.2%","2,301,523","",""
"RBRK","Rubrik Inc","COMMON STOCK","781154109","34,743","0.2%","454,276","",""
"ADPT","Adaptive Biotechnologies Corp","COMMON STOCK","00650F109","34,736","0.2%","2,138,960","",""
"BLDE","Strata Critical Medical Inc","COMMON STOCK","092667104","34,202","0.2%","7,110,660","",""
"IONS","Ionis Pharmaceuticals Inc","COMMON STOCK","462222100","33,461","0.2%","422,968","",""
"ESLT.TA","Elbit Systems Ltd","COMMON STOCK","M3760D101","32,955","0.2%","57,045","",""
"CCO.TO","Cameco Corp","COMMON STOCK","13321L108","32,423","0.2%","354,391","",""
"GTLB","Gitlab Inc","COMMON STOCK","37637K108","32,409","0.2%","863,575","",""
"NRIX","Nurix Therapeutics Inc","COMMON STOCK","67080M103","30,400","0.2%","1,602,539","",""
"DDOG","Datadog Inc","COMMON STOCK","23804L103","29,821","0.2%","219,291","",""
"SNPS","Synopsys Inc","COMMON STOCK","871607107","29,325","0.2%","62,431","",""
"KDK","Kodiak AI Inc","COMMON STOCK","500081104","29,150","0.2%","2,669,456","",""
"ISRG","Intuitive Surgical Inc","COMMON STOCK","46120E602","27,807","0.2%","49,098","",""
"PSTG","Pure Storage Inc","COMMON STOCK","74624M102","26,676","0.2%","398,100","",""
"GENI","Genius Sports Ltd","COMMON STOCK","G3934V109","26,133","0.2%","2,371,472","",""
"PONY","Pony AI Inc","ADR","732908108","23,946","0.2%","1,651,452","",""
"BFLY","Butterfly Network Inc","COMMON STOCK","124155102","23,728","0.2%","6,244,427","",""
"TDY","Teledyne Technologies Inc","COMMON STOCK","879360105","22,624","0.2%","44,299","",""
"NU","NU Holdings Ltd","COMMON STOCK","G6683N103","22,217","0.1%","1,327,232","",""
"FIG","Figma Inc","COMMON STOCK","316841105","21,738","0.1%","581,719","",""
"KLAR","Klarna Group PLC","COMMON STOCK","G5279N105","21,296","0.1%","736,657","",""
"AUR","Aurora Innovation Inc","COMMON STOCK","051774107","20,045","0.1%","5,220,165","",""
"CAT","Caterpillar Inc","COMMON STOCK","149123101","19,573","0.1%","34,168","",""
"SE","Sea Ltd","ADR","81141R100","18,902","0.1%","148,172","",""
"PRME","Prime Medicine Inc","COMMON STOCK","74168J101","18,628","0.1%","5,368,526","",""
"0FUT.IL","Futu Holdings Ltd","ADR","36118L106","17,410","0.1%","106,024","",""
"WRD","WeRide Inc","ADR","950915108","17,376","0.1%","2,001,896","",""
"","Brera Holdings PLC","COMMON STOCK","G13311116","16,997","0.1%","9,089,648","",""
"Z","Zillow Group Inc","COMMON STOCK","98954M200","16,800","0.1%","246,266","",""
"KIND","Nextdoor Holdings Inc","COMMON STOCK","65345M108","16,335","0.1%","7,778,633","",""
"ARCT","Arcturus Therapeutics Holdings","COMMON STOCK","03969T109","16,006","0.1%","2,611,099","",""
"ALCC","Oklo Inc","COMMON STOCK","02156V109","16,005","0.1%","223,045","",""
"NFLX","Netflix Inc","COMMON STOCK","64110L106","15,539","0.1%","165,735","",""
"CMPS","Compass Pathways Plc","ADR","20451W101","14,876","0.1%","2,156,012","",""
"AMGN","Amgen Inc","COMMON STOCK","031162100","14,845","0.1%","45,358","",""
"GLBE","Global-E Online Ltd","COMMON STOCK","M5216V106","14,339","0.1%","364,781","",""
"ETOR","Etoro Group Ltd","COMMON STOCK","G32089107","13,617","0.1%","387,644","",""
"INCY","Incyte Corp","COMMON STOCK","45337C102","13,526","0.1%","136,950","",""
"ATAI","Atai Beckley NV","COMMON STOCK","04650F101","13,521","0.1%","3,305,997","",""
"CRM","Salesforce Inc","COMMON STOCK","79466L302","13,495","0.1%","50,942","",""
"VRTX","Vertex Pharmaceuticals Inc","COMMON STOCK","92532F100","11,832","0.1%","26,100","",""
"CAI","Caris Life Sciences Inc","COMMON STOCK","142152107","11,027","0.1%","408,725","",""
"KSPI.IL","Kaspi.KZ JSC","ADR","48581R205","10,445","0.1%","133,688","",""
"MASS","908 Devices Inc","COMMON STOCK","65443P102","10,426","0.1%","1,985,986","",""
"THAR","Tharimmune Inc","COMMON STOCK","432705309","9,853","0.1%","3,252,033","",""
"INTU","Intuit Inc","COMMON STOCK","461202103","9,646","0.1%","14,562","",""
"VEEV","Veeva Systems Inc","COMMON STOCK","922475108","9,202","0.1%","41,222","",""
"PYPL","PayPal Holdings Inc","COMMON STOCK","70450Y103","8,842","0.1%","151,471","",""
"ICE","Intercontinental Exchange Inc","COMMON STOCK","45866F104","8,680","0.1%","53,595","",""
"GRMN","Garmin Ltd","COMMON STOCK","H2906T109","7,762","0.1%","38,269","",""
"QSI","Quantum0Si Inc","COMMON STOCK","74765K105","7,723","0.1%","7,021,571","",""
"ARKK","ARK Innovation ETF","ETP","00214Q104","6,343","0.0%","82,464","",""
"HEI","HEICO Corp","COMMON STOCK","422806109","6,075","0.0%","18,774","",""
"HON","Honeywell International Inc","COMMON STOCK","438516106","5,402","0.0%","27,690","",""
"ADSK","Autodesk Inc","COMMON STOCK","052769106","4,167","0.0%","14,078","",""
"LAB","Standard BioTools Inc","COMMON STOCK","34385P108","3,925","0.0%","3,066,665","",""
"XRAY","Dentsply Sirona Inc","COMMON STOCK","24906P109","3,922","0.0%","343,166","",""
"SSYS","Stratasys Ltd","COMMON STOCK","M85548101","3,913","0.0%","450,915","",""
"PTC","PTC Inc","COMMON STOCK","69370C100","3,670","0.0%","21,071","",""
"MSFT","Microsoft Corp","COMMON STOCK","594918104","3,311","0.0%","6,847","",""
"TEVA","Teva Pharmaceutical Industries","ADR","881624209","3,281","0.0%","105,131","",""
"TSEM","Tower Semiconductor Ltd","COMMON STOCK","M87915274","3,240","0.0%","27,598","",""
"XMTR","Xometry Inc","COMMON STOCK","98423F109","3,186","0.0%","53,576","",""
"TBLA","Taboola.com Ltd","COMMON STOCK","M8744T106","3,135","0.0%","680,235","",""
"PRNT","The 3D Printing ETF","ETP","00214Q500","3,028","0.0%","135,556","",""
"LMT","Lockheed Martin Corp","COMMON STOCK","539830109","2,961","0.0%","6,123","",""
"PRLB","Proto Labs Inc","COMMON STOCK","743713109","2,870","0.0%","56,744","",""
"URGN","UroGen Pharma Ltd","COMMON STOCK","M96088105","2,845","0.0%","121,484","",""
"FROG","JFrog Ltd","COMMON STOCK","M6191J100","2,763","0.0%","44,241","",""
"MTLS","Materialise NV","ADR","57667T100","2,735","0.0%","492,932","",""
"MGIC","Magic Software Enterprises Ltd","COMMON STOCK","559166103","2,572","0.0%","99,907","",""
"","Nano Dimension Ltd","ADR","63008G203","2,553","0.0%","1,657,901","",""
"CGNT","Cognyte Software Ltd","COMMON STOCK","M25133105","2,435","0.0%","259,116","",""
"BWAY","Brainsway Ltd","ADR","10501L106","2,421","0.0%","127,331","",""
"HPQ","HP Inc","COMMON STOCK","40434L105","2,406","0.0%","108,001","",""
"ITRN","Ituran Location and Control Ltd","COMMON STOCK","M6158M104","2,358","0.0%","54,825","",""
"PLTK","Playtika Holding Corp","COMMON STOCK","72815L107","2,329","0.0%","589,833","",""
"TATT","TAT Technologies Ltd","COMMON STOCK","M8740S227","2,268","0.0%","50,488","",""
"NYAX.TA","Nayax Ltd","COMMON STOCK","M7S750159","2,229","0.0%","44,143","",""
"RSKD","Riskified Ltd","COMMON STOCK","M8216R109","2,212","0.0%","445,153","",""
"PERI","Perion Network Ltd","COMMON STOCK","M78673114","2,103","0.0%","219,605","",""
"CLBT","Cellebrite DI Ltd","COMMON STOCK","M2197Q107","2,056","0.0%","114,066","",""
"NVMI","Nova Ltd","COMMON STOCK","M7516K103","2,046","0.0%","6,232","",""
"CHKP","Check Point Software Technologies Ltd","COMMON STOCK","M22465104","2,042","0.0%","11,005","",""
"INMD","Inmode Ltd","COMMON STOCK","M5425M103","1,993","0.0%","135,688","",""
"ALLT","Allot Ltd","COMMON STOCK","M0854Q105","1,990","0.0%","202,178","",""
"RDWR","Radware Ltd","COMMON STOCK","M81873107","1,984","0.0%","82,399","",""
"RDCM","RADCOM Ltd","COMMON STOCK","M81865111","1,974","0.0%","150,957","",""
"MDWD","MediWound Ltd","COMMON STOCK","M68830112","1,964","0.0%","106,397","",""
"AUDC","AudioCodes Ltd","COMMON STOCK","M15342104","1,937","0.0%","221,966","",""
"GILT","Gilat Satellite Networks Ltd","COMMON STOCK","M51474118","1,924","0.0%","148,721","",""
"CYBR","CyberArk Software Ltd","COMMON STOCK","M2682V108","1,893","0.0%","4,245","",""
"FVRR","Fiverr International Ltd","COMMON STOCK","M4R82T106","1,851","0.0%","93,707","",""
"NICE","Nice Ltd","ADR","653656108","1,836","0.0%","16,249","",""
"CAMT","Camtek Ltd","COMMON STOCK","M20791105","1,796","0.0%","16,894","",""
"SMWB","SimilarWeb Ltd","COMMON STOCK","M84137104","1,770","0.0%","236,425","",""
"MNDY","Monday.com Ltd","COMMON STOCK","M7S64H106","1,729","0.0%","11,724","",""
"KALU","Kaiser Aluminum Corp","COMMON STOCK","483007704","1,708","0.0%","14,877","",""
"ODD","Oddity Tech Ltd","COMMON STOCK","M7518J104","1,681","0.0%","41,857","",""
"DDD","3D Systems Corp","COMMON STOCK","88554D205","1,673","0.0%","945,298","",""
"VLN","Valens Semiconductor Ltd","COMMON STOCK","M9607U115","1,653","0.0%","1,164,756","",""
"WIX","Wix.com Ltd","COMMON STOCK","M98068105","1,612","0.0%","15,517","",""
"PGY","Pagaya Technologies Ltd","COMMON STOCK","M7S64L123","1,555","0.0%","74,426","",""
"MBLY","Mobileye Global Inc","COMMON STOCK","60741F104","1,492","0.0%","142,955","",""
"ALGN","Align Technology Inc","COMMON STOCK","016255101","1,426","0.0%","9,138","",""
"NNOX","Nano0X Imaging Ltd","COMMON STOCK","M70700105","1,420","0.0%","507,421","",""
"MOG-A","Moog Inc","COMMON STOCK","615394202","1,383","0.0%","5,680","",""
"UPS","United Parcel Service Inc","COMMON STOCK","911312106","1,327","0.0%","13,383","",""
"AME","AMETEK Inc","COMMON STOCK","031100100","1,316","0.0%","6,414","",""
"GE","GE Aerospace","COMMON STOCK","369604301","1,184","0.0%","3,847","",""
"LECO","Lincoln Electric Holdings Inc","COMMON STOCK","533900106","1,179","0.0%","4,924","",""
"IWF","iShares Russell 1000 Growth ETF","ETP","464287614","576","0.0%","1,219","",""
"ARKG","ARK Genomic Revolution ETF","ETP","00214Q302","145","0.0%","5,029","",""
"ATI","ATI Inc","COMMON STOCK","01741R102","102","0.0%","889","",""
"ETHA","iShares Ethereum Trust ETF","ETP","46438R105","99","0.0%","4,432","",""
"CRS","Carpenter Technology Corp","COMMON STOCK","144285103","95","0.0%","304","",""
"KMT","Kennametal Inc","COMMON STOCK","489170100","91","0.0%","3,210","",""
"KODK","Eastman Kodak Co","COMMON STOCK","277461406","90","0.0%","10,745","",""
"HXL","Hexcel Corp","COMMON STOCK","428291108","85","0.0%","1,159","",""
"REGN","Regeneron Pharmaceuticals Inc","COMMON STOCK","75886F107","84","0.0%","110","",""
"JBL","Jabil Inc","COMMON STOCK","466313103","78","0.0%","343","",""
"MMM","3M Co","COMMON STOCK","88579Y101","75","0.0%","471","",""
"EMN","Eastman Chemical Co","COMMON STOCK","277432100","74","0.0%","1,169","",""
"AVNT","Avient Corp","COMMON STOCK","05368V106","71","0.0%","2,282","",""
"MTRN","Materion Corp","COMMON STOCK","576690101","70","0.0%","565","",""
"VUG","Vanguard Growth ETF","ETP","922908736","62","0.0%","128","",""
"SPY","SPDR S&P 500 ETF Trust","ETP","78462F103","46","0.0%","68","",""
"Q","Qnity Electronics Inc","COMMON STOCK","74743L100","36","0.0%","447","",""
"DD","DuPont de Nemours Inc","COMMON STOCK","26614N102","35","0.0%","895","",""
"IWB","iShares Russell 1000 ETF","ETP","464287622","14","0.0%","38","",""
"EXAS","Exact Sciences Corp","COMMON STOCK","30063P105","7","0.0%","77","",""
