"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"TSLA","Tesla Inc","COMMON STOCK","88160R101","1,310,705","8.7%","2,914,492","",""
"SHOP","Shopify Inc","COMMON STOCK","82509L107","640,483","4.3%","3,978,898","",""
"ROKU","Roku Inc","COMMON STOCK","77543R102","638,109","4.2%","5,881,738","",""
"COIN","Coinbase Global Inc","COMMON STOCK","19260Q107","574,831","3.8%","2,541,928","",""
"PLTR","Palantir Technologies Inc","COMMON STOCK","69608A108","574,470","3.8%","3,231,901","",""
"CRSP","CRISPR Therapeutics AG","COMMON STOCK","H17182108","551,776","3.7%","10,522,057","",""
"AMD","Advanced Micro Devices Inc","COMMON STOCK","007903107","551,414","3.7%","2,574,779","",""
"HOOD","Robinhood Markets Inc","COMMON STOCK","770700102","543,582","3.6%","4,806,211","",""
"TER","Teradyne Inc","COMMON STOCK","880770102","456,077","3.0%","2,356,256","",""
"TEM","Tempus AI Inc","COMMON STOCK","88023B103","446,275","3.0%","7,557,583","",""
"RBLX","ROBLOX Corp","COMMON STOCK","771049103","391,726","2.6%","4,834,337","",""
"BEAM","Beam Therapeutics Inc","COMMON STOCK","07373V105","345,590","2.3%","12,467,189","",""
"CRCL","Circle Internet Group Inc","COMMON STOCK","172573107","328,431","2.2%","4,141,628","",""
"AMZN","Amazon.com Inc","COMMON STOCK","023135106","279,823","1.9%","1,212,301","",""
"ACHR","Archer Aviation Inc","COMMON STOCK","03945R102","264,483","1.8%","35,170,701","",""
"KTOS","Kratos Defense & Security Solutions Inc.","COMMON STOCK","50077B207","262,202","1.7%","3,454,123","",""
"BMNR","BitMine Immersion Technologies","COMMON STOCK","09175A206","256,766","1.7%","9,457,330","",""
"TWST","Twist Bioscience Corp","COMMON STOCK","90184D100","239,787","1.6%","7,559,495","",""
"NVDA","NVIDIA Corp","COMMON STOCK","67066G104","233,978","1.6%","1,254,577","",""
"TSM","Taiwan Semiconductor Manufacturing Company Ltd","ADR","874039100","227,485","1.5%","748,580","",""
"SQ","Block Inc","COMMON STOCK","852234103","219,448","1.5%","3,371,456","",""
"TXG","10X Genomics Inc","COMMON STOCK","88025U109","206,604","1.4%","12,667,369","",""
"ILMN","Illumina Inc","COMMON STOCK","452327109","202,032","1.3%","1,540,351","",""
"ARKB","ARK 21Shares Bitcoin ETF","ETP","040919102","199,548","1.3%","6,871,505","",""
"META","Meta Platforms Inc","COMMON STOCK","30303M102","197,069","1.3%","298,549","",""
"DE","Deere & Co","COMMON STOCK","244199105","196,427","1.3%","421,907","",""
"BLSH","Bullish","COMMON STOCK","G16910120","182,597","1.2%","4,821,700","",""
"GOOG","Alphabet Inc","COMMON STOCK","02079K107","171,300","1.1%","545,892","",""
"NTRA","Natera Inc","COMMON STOCK","632307104","167,489","1.1%","731,110","",""
"VCYT","Veracyte Inc","COMMON STOCK","92337F107","163,665","1.1%","3,887,547","",""
"DKNG","DraftKings Inc","COMMON STOCK","26142V105","156,474","1.0%","4,540,766","",""
"RKLB","Rocket Lab Corp","COMMON STOCK","773121108","155,931","1.0%","2,235,260","",""
"RXRX","Recursion Pharmaceuticals Inc","COMMON STOCK","75629V104","152,625","1.0%","37,316,856","",""
"BIDU","Baidu Inc","ADR","056752108","151,288","1.0%","1,157,878","",""
"CRWV","CoreWeave Inc","COMMON STOCK","21873S108","137,795","0.9%","1,924,256","",""
"ABNB","Airbnb Inc","COMMON STOCK","009066101","133,014","0.9%","980,062","",""
"NTLA","Intellia Therapeutics Inc","COMMON STOCK","45826J105","127,723","0.8%","14,207,324","",""
"BWXT","BWX Technologies Inc","COMMON STOCK","05605H100","115,369","0.8%","667,493","",""
"TTD","The Trade Desk Inc","COMMON STOCK","88339J105","111,129","0.7%","2,927,539","",""
"PD","PagerDuty Inc","COMMON STOCK","69553P100","109,119","0.7%","8,323,386","",""
"SOFI","SoFi Technologies Inc","COMMON STOCK","83406F102","107,496","0.7%","4,106,060","",""
"AVAV","AeroVironment Inc","COMMON STOCK","008073108","104,769","0.7%","433,129","",""
"BABA","Alibaba Group Holding Ltd","ADR","01609W102","93,489","0.6%","637,808","",""
"LHX","L3Harris Technologies Inc","COMMON STOCK","502431109","90,925","0.6%","309,723","",""
"TRMB","Trimble Inc","COMMON STOCK","896239100","80,003","0.5%","1,021,098","",""
"WGS","GeneDx Holdings Corp","COMMON STOCK","81663L200","78,629","0.5%","604,561","",""
"GH","Guardant Health Inc","COMMON STOCK","40131M109","70,644","0.5%","691,647","",""
"TOST","Toast Inc","COMMON STOCK","888787108","69,825","0.5%","1,966,366","",""
"PACB","Pacific Biosciences of California, Inc.","COMMON STOCK","69404D108","69,684","0.5%","37,264,228","",""
"DASH","DoorDash Inc","COMMON STOCK","25809K105","69,379","0.5%","306,339","",""
"PSNL","Personalis Inc","COMMON STOCK","71535D106","62,717","0.4%","7,879,087","",""
"CRWD","Crowdstrike Holdings Inc","COMMON STOCK","22788C105","57,702","0.4%","123,096","",""
"MELI","MercadoLibre Inc","COMMON STOCK","58733R102","52,823","0.4%","26,225","",""
"PINS","Pinterest Inc","COMMON STOCK","72352L106","49,955","0.3%","1,929,535","",""
"IRDM","Iridium Communications Inc","COMMON STOCK","46269C102","49,543","0.3%","2,850,606","",""
"SPOT","Spotify Technology SA","COMMON STOCK","L8681T102","45,589","0.3%","78,506","",""
"JOBY","Joby Aviation Inc","COMMON STOCK","G65163100","44,312","0.3%","3,357,008","",""
"ABSI","Absci Corp","COMMON STOCK","00091E109","43,802","0.3%","12,550,799","",""
"U","Unity Software Inc","COMMON STOCK","91332U101","43,036","0.3%","974,337","",""
"QCOM","Qualcomm Inc","COMMON STOCK","747525103","42,791","0.3%","250,168","",""
"NET","Cloudflare Inc","COMMON STOCK","18915M107","41,419","0.3%","210,090","",""
"CDNA","CareDx Inc","COMMON STOCK","14167L103","40,249","0.3%","2,136,403","",""
